,"46023 - NUF TRD 2015","IIS & Webserver",02/09/2017,15:25:52,16:52:06,1.44,,
,"46023 - NUF TRD 2015",Backend,02/28/2017,13:30:00,14:53:07,1.39,,
,"153 - Praktikanten Betreuung",,02/08/2017,12:55:00,13:15:00,0.33,,
,Sonstiges.,,02/21/2017,08:00:00,10:48:36,2.81,"47013 - Webapp Continental Planung",
,"46023 - NUF TRD 2015",Server-Frontend,02/17/2017,12:35:00,13:20:00,0.75,"Unterstützung Robin Identity",
,"153 - Praktikanten Betreuung",,02/10/2017,16:01:39,17:56:50,1.92,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/02/2017,10:36:45,10:44:25,0.13,,
,Sonstiges.,,02/17/2017,10:45:00,12:00:51,1.26,"47013 - Webapp Continental Planung",
,"153 - Praktikanten Betreuung",,02/09/2017,10:24:58,10:51:46,0.45,,
,"46023 - NUF TRD 2015",Backend,02/28/2017,11:00:00,11:27:04,0.45,,
,"46023 - NUF TRD 2015",Browser-Frontend,02/13/2017,13:30:00,13:50:26,0.34,"Unterstützung Robin (angular)",
,"153 - Praktikanten Betreuung",,02/28/2017,11:25:00,12:01:30,0.61,,
,"153 - Praktikanten Betreuung",,02/09/2017,13:04:37,15:25:52,2.35,,
,"153 - Praktikanten Betreuung",,02/28/2017,12:24:31,13:28:00,1.06,,
,"153 - Praktikanten Betreuung",,02/03/2017,14:37:51,16:29:17,1.86,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/13/2017,17:53:31,19:52:23,1.98,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/13/2017,12:40:00,13:03:40,0.39,,
,"46023 - NUF TRD 2015",Browser-Frontend,02/16/2017,15:03:12,15:33:50,0.51,,
,"Rapid Code Review","46049 - Entwicklung",02/02/2017,12:36:25,14:29:16,1.88,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/10/2017,12:25:00,16:01:39,3.61,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/09/2017,09:55:00,10:24:58,0.5,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/15/2017,14:15:00,14:59:11,0.74,,
,"46023 - NUF TRD 2015",Backend,02/28/2017,12:19:47,12:24:31,0.08,,
,"153 - Praktikanten Betreuung",,02/27/2017,15:39:00,15:54:00,0.25,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/23/2017,09:00:00,11:56:46,2.95,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/16/2017,09:00:00,11:56:46,2.95,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/16/2017,09:00:00,11:56:46,2.95,,
,"46023 - NUF TRD 2015","IIS & Webserver",02/08/2017,13:23:22,13:25:49,0.04,,
